tradingsymbol,exchange,instrument_token,product,segment,quantity,overnight_quantity,multiplier,average_price,close_price,last_price,value,pnl,m2m,unrealised,realised,buy_quantity,buy_price,buy_value,buy_m2m,sell_quantity,sell_price,sell_value,sell_m2m,day_buy_quantity,day_buy_price,day_buy_value,day_sell_quantity,day_sell_price,day_sell_value
BANKNIFTY26FEB60100PE,NFO,15422978,NRML,FO,30,30,1,693.8,219.5,205.05,-20814.0,-14662.5,-433.5,-14662.5,0,30,693.8,20814.0,6585.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
BANKNIFTY26FEB60800CE,NFO,15427074,NRML,FO,150,0,1,441.99,0.0,429.0,-66298.5,-1948.5,-1948.5,-1948.5,0,150,441.99,66298.5,66298.5,0,0.0,0.0,0.0,150,441.99,66298.5,0,0.0,0.0
BANKNIFTY26FEB60800PE,NFO,15427330,NRML,FO,60,0,1,430.4,0.0,442.15,-25824.0,705.0,705.0,705.0,0,60,430.4,25824.0,25824.0,0,0.0,0.0,0.0,60,430.4,25824.0,0,0.0,0.0
INFY26FEB1500CE,NFO,29548034,NRML,FO,1600,1600,1,41.8,22.2,6.6,-66880.0,-56320.0,-24960.0,-56320.0,0,1600,41.8,66880.0,35520.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
ITC26FEB318.5CE,NFO,27610882,NRML,FO,1600,1600,1,4.9,4.8,4.1,-7840.000000000001,-1280.0000000000018,-1120.000000000001,-1280.0000000000018,0,1600,4.9,7840.000000000001,7680.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
ITC26FEB333.5CE,NFO,27619074,NRML,FO,6400,6400,1,11.35,1.2,0.95,-72640.0,-66560.0,-1600.0,-66560.0,0,6400,11.35,72640.0,7680.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
ITC26FEB353.5CE,NFO,27661314,NRML,FO,6400,6400,1,4.85,0.4,0.3,-31039.999999999996,-29119.999999999996,-640.0,-29119.999999999996,0,6400,4.85,31039.999999999996,2560.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
NIFTY2621725850PE,NFO,12347138,NRML,FO,325,520,1,86.51333333333334,74.1,119.9,-12083.5,26884.0,27872.0,26884.0,0,975,86.51333333333334,84350.5,83362.5,650,111.18,72267.0,72267.0,455,98.52857142857142,44830.5,650,111.18,72267.0
NIFTY2621725950CE,NFO,12347906,NRML,FO,520,520,1,133.09375,132.4,58.5,-69208.75,-38788.75,-38428.0,-38788.75,0,520,133.09375,69208.75,68848.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
BANKNIFTY26FEB60100CE,NFO,15422722,NRML,FO,0,90,1,0.0,914.75,888.0,7149.0,7149.0,4831.5,7149.0,0,90,889.0,80010.0,82327.5,90,968.4333333333333,87159.0,87159.0,0,0.0,0.0,90,968.4333333333333,87159.0
BEL26FEB440CE,NFO,20269826,NRML,FO,0,0,1,0.0,0.0,12.45,3063.750000000002,3063.750000000002,3063.750000000002,3063.750000000002,0,1425,10.45,14891.249999999998,14891.249999999998,1425,12.6,17955.0,17955.0,1425,10.45,14891.249999999998,1425,12.6,17955.0
BEL26FEB460CE,NFO,20273410,NRML,FO,0,0,1,0.0,0.0,4.9,-1211.25,-1211.25,-1211.25,-1211.25,0,1425,4.75,6768.75,6768.75,1425,3.9,5557.5,5557.5,1425,4.75,6768.75,1425,3.9,5557.5
INFY26FEB1560CE,NFO,27010050,NRML,FO,0,-800,1,0.0,7.8,3.0,10360.0,10360.0,3160.0,10360.0,0,800,3.85,3080.0,3080.0,800,16.8,13440.0,6240.0,800,3.85,3080.0,0,0.0,0.0
NIFTY2621725850CE,NFO,12346882,NRML,FO,0,0,1,0.0,0.0,97.65,-1127.75,-1127.75,-1127.75,-1127.75,0,3380,112.56442307692309,380467.75000000006,380467.75000000006,3380,112.23076923076925,379340.00000000006,379340.00000000006,3380,112.56442307692309,380467.75000000006,3380,112.23076923076924,379340.00000000006
